id,label
8,horse
10,cat
12,horse
13,horse
18,cat
22,cat
27,cat
34,cat
37,cat
38,horse
39,cat
40,cat
44,horse
53,horse
60,cat
69,horse
74,horse
75,cat
79,cat
81,cat
85,horse
86,horse
88,horse
92,cat
102,cat
114,horse
115,horse
132,horse
134,horse
142,cat
143,cat
151,cat
153,horse
160,cat
164,horse
170,cat
173,horse
175,cat
179,horse
182,horse
192,horse
198,cat
204,cat
208,cat
212,horse
230,cat
231,horse
238,horse
242,cat
252,cat
254,cat
257,horse
259,cat
267,cat
268,horse
288,cat
290,horse
295,horse
315,cat
316,cat
319,horse
321,horse
322,horse
330,horse
332,cat
334,cat
335,cat
339,horse
343,cat
363,horse
367,horse
368,cat
371,cat
378,cat
383,horse
385,cat
387,horse
389,horse
392,horse
395,horse
396,cat
413,horse
414,horse
417,cat
423,horse
434,horse
441,horse
446,cat
447,cat
470,horse
471,horse
477,cat
479,horse
480,cat
493,horse
495,cat
500,horse
515,horse
517,horse
518,cat
524,horse
532,horse
538,horse
546,horse
549,cat
551,cat
552,horse
571,horse
576,horse
583,horse
584,cat
590,horse
596,horse
598,cat
604,cat
612,horse
619,cat
624,horse
630,cat
637,horse
639,cat
640,cat
642,horse
648,horse
653,horse
655,horse
663,horse
672,horse
679,cat
685,cat
686,cat
689,horse
692,cat
703,cat
718,cat
723,horse
728,horse
731,cat
740,horse
741,cat
745,horse
747,horse
755,horse
760,horse
761,horse
772,horse
775,cat
777,cat
786,cat
789,cat
790,horse
793,cat
795,horse
798,horse
802,cat
806,cat
807,cat
810,cat
822,horse
825,horse
826,horse
843,horse
846,cat
847,cat
848,horse
851,cat
858,cat
859,horse
862,cat
866,cat
870,cat
879,cat
883,cat
896,cat
899,horse
914,horse
917,horse
923,cat
927,horse
942,cat
949,horse
950,cat
953,horse
955,horse
956,cat
957,horse
969,horse
970,cat
973,horse
974,horse
993,cat
995,horse
996,cat
999,cat
1003,cat
1011,cat
1020,horse
1026,cat
1031,cat
1042,cat
1043,horse
1047,horse
1049,cat
1055,horse
1056,cat
1058,cat
1060,cat
1071,cat
1072,horse
1075,cat
1077,cat
1084,horse
1090,horse
1095,horse
1099,cat
1101,cat
1105,cat
1110,cat
1114,horse
1119,horse
1121,cat
1122,cat
1125,cat
1126,horse
1128,cat
1129,cat
1136,horse
1150,horse
1151,cat
1161,cat
1165,cat
1166,horse
1168,horse
1174,horse
1180,horse
1197,cat
1198,horse
1201,horse
1203,cat
1209,cat
1216,horse
1219,horse
1227,horse
1253,cat
1258,cat
1266,cat
1272,cat
1274,horse
1276,horse
1277,horse
1282,cat
1287,cat
1303,horse
1309,horse
1310,horse
1317,cat
1322,cat
1342,horse
1346,cat
1352,cat
1353,horse
1359,cat
1364,cat
1366,horse
1369,cat
1370,horse
1387,horse
1396,horse
1406,cat
1413,horse
1415,horse
1427,cat
1428,cat
1442,horse
1443,horse
1446,horse
1450,cat
1460,horse
1462,cat
1470,horse
1484,horse
1488,cat
1489,horse
1490,horse
1491,horse
1496,horse
1497,cat
1499,horse
1500,cat
1511,cat
1512,cat
1519,horse
1529,cat
1535,cat
1540,cat
1544,horse
1545,horse
1547,cat
1550,horse
1554,cat
1555,cat
1556,cat
1557,cat
1562,horse
1563,horse
1569,cat
1574,cat
1578,horse
1582,horse
1583,horse
1584,horse
1593,horse
1604,cat
1609,cat
1626,cat
1646,horse
1651,horse
1656,cat
1659,cat
1680,horse
1686,cat
1697,cat
1699,horse
1701,cat
1704,cat
1711,cat
1717,horse
1724,cat
1730,horse
1736,cat
1738,cat
1739,horse
1743,horse
1759,horse
1765,horse
1770,cat
1773,cat
1777,horse
1779,cat
1784,horse
1786,cat
1804,cat
1807,horse
1809,horse
1816,cat
1824,cat
1826,horse
1829,horse
1834,horse
1835,cat
1836,horse
1840,cat
1841,horse
1842,cat
1846,cat
1847,cat
1855,horse
1857,cat
1858,horse
1859,horse
1865,cat
1880,cat
1889,cat
1891,horse
1892,horse
1893,cat
1895,horse
1896,cat
1897,horse
1898,cat
1899,horse
1900,horse
1901,horse
1903,horse
1906,horse
1909,horse
1910,horse
1916,horse
1917,cat
1920,cat
1928,horse
1931,horse
1932,horse
1939,cat
1946,horse
1952,cat
1959,cat
1962,cat
1963,cat
1964,cat
1966,cat
1967,cat
1970,cat
1998,horse
2001,horse
2009,horse
2012,cat
2016,horse
2023,horse
2026,cat
2031,horse
2043,cat
2046,horse
2049,cat
2050,horse
2052,cat
2058,cat
2064,horse
2069,cat
2075,horse
2076,horse
2083,cat
2084,cat
2093,cat
2103,horse
2104,horse
2114,horse
2120,horse
2128,cat
2131,cat
2133,cat
2136,horse
2138,cat
2140,horse
2141,horse
2142,cat
2152,horse
2155,cat
2163,cat
2165,cat
2166,cat
2169,cat
2175,cat
2182,cat
2196,horse
2198,cat
2199,cat
2202,horse
2208,horse
2212,horse
2224,cat
2229,horse
2244,horse
2245,horse
2255,cat
2257,horse
2264,horse
2271,cat
2276,horse
2279,horse
2280,cat
2291,horse
2302,horse
2308,cat
2312,horse
2313,cat
2320,horse
2322,horse
2325,cat
2327,cat
2332,horse
2338,cat
2349,cat
2354,cat
2359,horse
2360,cat
2361,horse
2367,horse
2371,horse
2376,cat
2377,cat
2384,cat
2387,cat
2393,horse
2397,horse
2398,horse
2400,horse
2405,cat
2406,horse
2407,cat
2413,cat
2415,cat
2426,cat
2431,horse
2433,cat
2444,cat
2448,cat
2450,horse
2453,cat
2459,horse
2473,horse
2475,horse
2481,horse
2482,horse
2493,horse
2494,horse
2500,horse
2502,cat
2503,horse
2506,cat
2519,cat
2522,cat
2526,cat
2528,cat
2531,cat
2540,horse
2542,horse
2554,horse
2555,horse
2560,cat
2561,horse
2563,cat
2564,horse
2565,cat
2566,cat
2582,cat
2595,cat
2602,horse
2607,cat
2609,horse
2612,horse
2613,horse
2615,horse
2617,horse
2621,horse
2628,cat
2649,cat
2650,cat
2652,horse
2666,cat
2669,cat
2670,horse
2678,horse
2697,cat
2700,cat
2701,horse
2702,horse
2716,horse
2717,horse
2724,cat
2725,horse
2739,cat
2740,cat
2747,horse
2751,horse
2767,cat
2771,cat
2777,horse
2782,cat
2783,cat
2784,horse
2786,cat
2791,horse
2802,horse
2808,horse
2810,cat
2814,horse
2815,horse
2824,horse
2835,horse
2853,horse
2866,cat
2877,cat
2890,horse
2892,horse
2893,cat
2898,horse
2904,cat
2913,horse
2931,cat
2932,cat
2934,cat
2945,cat
2948,cat
2961,horse
2970,horse
2974,horse
2978,horse
2981,horse
2982,horse
2983,cat
2987,cat
3001,cat
3004,cat
3014,horse
3017,cat
3027,cat
3030,horse
3036,horse
3044,cat
3051,horse
3053,cat
3055,horse
3058,cat
3072,horse
3082,cat
3084,horse
3085,cat
3088,cat
3101,cat
3105,horse
3106,cat
3109,cat
3110,cat
3111,cat
3126,cat
3135,cat
3136,horse
3139,horse
3147,horse
3148,horse
3151,horse
3152,horse
3158,horse
3173,cat
3178,cat
3179,cat
3187,horse
3189,cat
3191,cat
3192,horse
3195,cat
3202,cat
3209,horse
3210,horse
3214,horse
3219,cat
3221,cat
3223,cat
3243,cat
3249,cat
3252,horse
3256,horse
3262,horse
3273,horse
3276,horse
3280,horse
3285,horse
3287,cat
3288,cat
3290,cat
3303,cat
3318,horse
3321,cat
3329,cat
3341,cat
3344,horse
3349,horse
3352,cat
3356,cat
3359,horse
3365,horse
3366,cat
3372,cat
3374,cat
3375,horse
3377,cat
3386,cat
3390,horse
3392,cat
3399,horse
3401,horse
3414,horse
3428,horse
3430,cat
3433,horse
3435,horse
3448,cat
3451,horse
